"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 14 16:44:46 BRT 2024","Sat Sep 14 16:44:47 BRT 2024","1048","chromium","productsTest.spec.ts","","","","Add product to cart and check",""
"failed","Sat Sep 14 16:44:48 BRT 2024","Sat Sep 14 16:44:54 BRT 2024","5778","chromium","signInLogin.spec.ts","","","","Should show error when Username is empty",""
"passed","Sat Sep 14 16:44:36 BRT 2024","Sat Sep 14 16:44:45 BRT 2024","8797","chromium","checkoutTest.spec.ts","Checkout Validation","","","Should Fill All Required Fields and Continue to Next Step",""
"passed","Sat Sep 14 16:44:47 BRT 2024","Sat Sep 14 16:44:48 BRT 2024","921","chromium","signInLogin.spec.ts","","","","Should successfully log in with a standard user",""
"passed","Sat Sep 14 16:44:47 BRT 2024","Sat Sep 14 16:44:48 BRT 2024","892","chromium","signInLogin.spec.ts","","","","Should failed log in with a locked user",""
"passed","Sat Sep 14 16:44:36 BRT 2024","Sat Sep 14 16:44:45 BRT 2024","9099","chromium","checkoutTest.spec.ts","Checkout Validation","","","Should show error when First Name is empty",""
"passed","Sat Sep 14 16:44:47 BRT 2024","Sat Sep 14 16:44:48 BRT 2024","1158","chromium","productsTest.spec.ts","","","","Add product to cart and check badge",""
"passed","Sat Sep 14 16:44:46 BRT 2024","Sat Sep 14 16:44:47 BRT 2024","1302","chromium","checkoutTest.spec.ts","Checkout Validation","","","Should show error when Postal Code is empty",""
"passed","Sat Sep 14 16:44:46 BRT 2024","Sat Sep 14 16:44:47 BRT 2024","1395","chromium","checkoutTest.spec.ts","Checkout Validation","","","Should successfully complete a purchase",""
"passed","Sat Sep 14 16:44:36 BRT 2024","Sat Sep 14 16:44:45 BRT 2024","8833","chromium","checkoutTest.spec.ts","Checkout Validation","","","Should show error when Last Name is empty",""
